脱敏客户ID,付款时间,支付金额
cumid1,2023-09-01 00:10:04,18.2
cumid2,2023-09-01 00:14:52,9.65
cumid3,2023-09-01 02:17:15,10.08
cumid4,2023-09-01 03:37:28,25.33
cumid5,2023-09-01 08:53:50,98.35
cumid6,2023-09-01 09:02:39,25.4
cumid7,2023-09-01 09:30:04,19.93
cumid8,2023-09-01 09:41:45,116.05
cumid9,2023-09-01 09:49:05,24.63
cumid10,2023-09-01 10:36:05,17.69
cumid11,2023-09-01 10:54:45,9.44
cumid12,2023-09-01 11:02:14,112.35
cumid13,2023-09-01 11:09:51,26.02
cumid14,2023-09-01 11:19:00,119.68
cumid14,2023-09-01 11:25:47,101.93
cumid15,2023-09-01 11:45:39,9.75
cumid16,2023-09-01 13:07:08,9.47
cumid17,2023-09-01 13:07:09,116.45
cumid18,2023-09-01 13:44:43,204.99
cumid19,2023-09-01 14:01:58,122.07
cumid20,2023-09-01 14:17:48,98.04
cumid21,2023-09-01 14:27:36,9.26
cumid22,2023-09-01 16:29:14,25.56
cumid23,2023-09-01 17:03:54,121.88
cumid24,2023-09-01 18:05:31,116.69
cumid25,2023-09-01 18:18:54,119.39
cumid26,2023-09-01 18:52:45,25.09
cumid27,2023-09-01 19:03:13,122.83
cumid28,2023-09-01 19:46:12,25.21
cumid29,2023-09-01 20:02:17,25.95
cumid30,2023-09-01 20:37:57,100.23
cumid31,2023-09-01 20:40:06,25.23
cumid32,2023-09-01 21:34:02,107.32
cumid33,2023-09-01 21:45:40,111.37
cumid34,2023-09-01 21:47:19,9.96
cumid35,2023-09-01 22:10:42,17.19
cumid36,2023-09-01 22:10:47,115.35
cumid37,2023-09-01 22:29:16,116.07
cumid38,2023-09-01 22:33:06,105.32
cumid39,2023-09-01 22:40:38,99.4
cumid40,2023-09-01 22:49:17,9.68
cumid41,2023-09-01 23:25:11,204.85
cumid42,2023-09-01 23:56:51,25.97
cumid43,2023-09-02 00:07:04,117.56
cumid44,2023-09-02 01:46:07,10.07
cumid45,2023-09-02 08:15:14,9.82
cumid46,2023-09-02 09:13:14,94.25
cumid47,2023-09-02 09:16:47,9.76
cumid48,2023-09-02 09:44:43,46.46
cumid49,2023-09-02 10:06:48,9.62
cumid50,2023-09-02 10:54:46,25.13
cumid51,2023-09-02 11:13:39,24.48
cumid52,2023-09-02 12:17:14,100.04
cumid53,2023-09-02 12:24:02,45.65
cumid54,2023-09-02 12:27:57,95.76
cumid55,2023-09-02 12:28:28,206.85
cumid56,2023-09-02 12:44:37,99.94
cumid57,2023-09-02 13:00:46,25.14
cumid58,2023-09-02 13:59:22,9.73
cumid59,2023-09-02 14:02:24,205.26
cumid60,2023-09-02 15:29:39,117.72
cumid61,2023-09-02 16:56:28,25.59
cumid62,2023-09-02 17:07:12,24.37
cumid63,2023-09-02 18:16:57,105.73
cumid64,2023-09-02 18:42:39,108.25
cumid65,2023-09-02 18:48:00,201.34
cumid66,2023-09-02 19:31:46,18.9
cumid67,2023-09-02 19:35:13,678.34
cumid68,2023-09-02 19:44:36,115.51
cumid69,2023-09-02 19:49:04,19.01
cumid70,2023-09-02 19:59:09,17.49
cumid71,2023-09-02 20:02:41,20.24
cumid72,2023-09-02 20:08:19,19.86
cumid73,2023-09-02 20:09:37,20.11
cumid74,2023-09-02 20:10:36,18.78
cumid75,2023-09-02 20:15:05,121.91
cumid76,2023-09-02 20:41:27,19.29
cumid77,2023-09-02 20:45:50,111.35
cumid78,2023-09-02 20:51:39,112.51
cumid43,2023-09-02 21:05:19,19.23
cumid79,2023-09-02 21:13:59,20.17
cumid80,2023-09-02 21:30:19,19.58
cumid81,2023-09-02 22:29:13,25.85
cumid82,2023-09-02 22:50:27,43.09
cumid83,2023-09-02 23:06:55,120.23
cumid84,2023-09-02 23:28:40,221.39
cumid85,2023-09-02 23:56:52,115.44
cumid86,2023-09-03 00:50:21,19.56
cumid87,2023-09-03 02:07:38,98.32
cumid88,2023-09-03 08:07:56,117.12
cumid89,2023-09-03 08:29:13,10.01
cumid90,2023-09-03 08:43:47,9.45
cumid91,2023-09-03 09:09:48,20.06
cumid92,2023-09-03 09:15:08,19.1
cumid93,2023-09-03 09:30:42,97.96
cumid94,2023-09-03 10:23:25,9.45
cumid95,2023-09-03 10:33:52,25.53
cumid96,2023-09-03 10:35:05,26.14
cumid97,2023-09-03 10:54:57,18.09
cumid98,2023-09-03 10:55:54,9.93
cumid99,2023-09-03 11:19:59,25.96
cumid100,2023-09-03 12:07:36,144.45
cumid101,2023-09-03 13:20:30,15.65
cumid102,2023-09-03 13:22:48,113.71
cumid103,2023-09-03 13:29:14,212.06
cumid104,2023-09-03 13:34:44,9.34
cumid105,2023-09-03 14:19:09,120.59
cumid106,2023-09-03 15:05:29,25.03
cumid107,2023-09-03 15:41:16,24.85
cumid108,2023-09-03 15:51:35,39.53
cumid109,2023-09-03 17:29:26,19.75
cumid110,2023-09-03 17:30:07,117.19
cumid111,2023-09-03 17:48:49,9.29
cumid112,2023-09-03 17:55:46,93.1
cumid113,2023-09-03 17:59:55,19.57
cumid114,2023-09-03 18:01:49,100.27
cumid115,2023-09-03 18:26:24,9.89
cumid116,2023-09-03 18:35:19,17.4
cumid117,2023-09-03 20:07:31,95.84
cumid118,2023-09-03 20:40:31,215.54
cumid119,2023-09-03 21:07:52,9.42
cumid120,2023-09-03 21:14:10,19.99
cumid121,2023-09-03 21:15:40,19.53
cumid122,2023-09-03 21:18:48,18.91
cumid123,2023-09-03 21:18:52,18.68
cumid124,2023-09-03 21:19:33,19.26
cumid125,2023-09-03 21:20:37,19.04
cumid97,2023-09-03 21:29:17,18.79
cumid126,2023-09-03 21:31:08,115.49
cumid127,2023-09-03 21:32:33,9.97
cumid128,2023-09-03 21:32:41,19.37
cumid129,2023-09-03 21:35:47,19.37
cumid130,2023-09-03 21:37:39,19.3
cumid131,2023-09-03 21:38:18,19.01
cumid132,2023-09-03 21:38:58,19.59
cumid133,2023-09-03 21:41:35,18.94
cumid134,2023-09-03 21:43:03,19.34
cumid135,2023-09-03 21:47:01,18.82
cumid137,2023-09-03 21:50:25,18.89
cumid97,2023-09-03 21:50:38,19.87
