抿 ..-....-.---
瞌 ---.-..--..-
途 -.-....-.-.-
递 ..-.--.-...-
死 -..--.-.---.
扯 -.-.-..---..
来 ----...---.-
纠 .-..-.---.-.
场 -..-.-....-.
启 .......--...
瞪 -...-.----.-
榉 -..-...-..-.
气 ..---..--...
娶 .--.--.---.-
痴 -----...--.-
盯 ...-.--.-..-
历 -..-----.-..
枉 .....-.--.--
佃 -.-..-.-...-
奔 ---...-.---.
咐 ..--....--.-
讨 .-.--...--.-
偎 ...---.-....
狱 -..-----...-
友 .-...--....-
捺 -.-.....--..
吗 -.----..---.
爽 ...-...-.--.
公 .-.-..--.---
百 --...---....
欣 .-.----..---
呵 -.---...----
亏 ..----------
萧 ---..-.--.-.
针 -.-....-.-..
葫 .---...--.--
荡 -.-..-.-.-..
搀 --....-..-.-
煞 --.-..--.-.-
伶 -.----.--.-.
季 -....-.-.---
酸 .---...-.--.
容 -.-.-..-....
湿 --...--.-.-.
芝 ---..-......
餍 ...---..---.
宅 ----.---.-..
啜 .---..--..-.
勤 .-..-.---.--
兽 .----.--.-..
纵 -.....-.-...
歪 ..-.-...-..-
素 -.-----...-.
倡 .--.---.-..-
夫 ..----.-....
哧 --.....-....
帘 .-----.-..--
逾 .-----.---..
银 -.-.-..--...
逸 .-..-....-.-
拱 ...-----.---
肩 --..-..--..-
陪 ...---...--.
析 ..---.---.-.
帝 .-.-.-.-.--.
卵 ---..--..-.-
北 -.-..-..--..
规 .-.-...-....
漂 .--.---.---.
锈 -----....-.-
薛 .-...-..--.-
书 --.-----.-.-
垢 .-..-.-.-...
户 -...--.....-
啷 ..-----....-
菲 -..-...--.--
原 --..-.-.----
哪 -...-....---
呶 ..--...-....
泰 -.---....--.
拾 -.......-.--
廉 .-....-.--..
另 .--.-.-...--
遛 .-.-...--.--
： -.....--..--
眉 .--..-..-.--
w .--.......-.
馆 ....--.--...
嫁 --.-.-------
丫 -.....-.----
足 ---....-..-.
嫉 .--.-----...
藏 -..-...--..-
蹒 .--.----..-.
替 ..---.-----.
如 ...-....--..
客 -.--..---.--
羡 .-.--.--...-
哼 -.-.----....
拙 ....-..--.--
哺 --.-..--.-..
洛 --.--...-..-
花 ..-..----..-
灿 .-.-.-.-.---
因 .---..----..
补 -..-....-...
段 -.....----.-
台 ----...-.-.-
返 ...--......-
咱 .-..----.---
秘 ...-..-----.
党 ---.....-..-
集 .....----..-
亡 ..--.-...-.-
过 -....-.-..-.
谧 -.--..--..-.
稀 ..-..---.-.-
宾 .-.----.----
漠 ..--...----.
详 ---..--.--.-
绯 -.--.---..--
究 -..---..--.-
守 ...-.-.--.-.
肿 ..-...--.-..
碑 ..-.-..---..
旋 ..-------.--
允 -.--.---.-..
佑 .-.-----.-..
幕 ---.--....-.
协 -.---......-
违 --..........
忍 -...-..---..
簇 ...-..-.--..
敢 ---.-...-.--
密 .....--.--.-
必 .------..--.
缆 ...---..--.-
赖 .-....-.-.-.
