日期,付费金额,uid
2021/4/30 9:50,300,9734668
2021/4/30 9:42,150,9947799
2021/4/30 9:41,680,9058431
2021/4/30 9:32,30,9947799
2021/4/30 9:25,150,2412798
2021/4/30 9:24,680,3202976
2021/4/30 9:24,680,3202976
2021/4/30 9:19,60,9942800
2021/4/30 9:17,300,9974160
2021/4/30 8:35,30,9970308
2021/4/30 8:31,1280,8801914
2021/4/30 8:28,60,9227561
2021/4/30 8:28,60,9227561
2021/4/30 8:26,150,9227561
2021/4/30 8:25,680,9227561
2021/4/30 7:46,60,9703904
2021/4/30 7:45,60,9703904
2021/4/30 7:05,300,10008447
2021/4/30 6:46,300,10011709
2021/4/30 5:48,300,8904927
2021/4/30 5:43,300,9832541
2021/4/30 5:15,150,9832541
2021/4/30 5:14,680,9832541
2021/4/30 4:35,30,10009955
2021/4/30 3:44,60,9663381
2021/4/30 3:44,60,9663381
2021/4/30 3:09,60,9981929
2021/4/30 2:18,300,10011298
2021/4/30 2:09,680,8799456
2021/4/30 2:03,300,9981929
2021/4/30 1:52,150,8797502
2021/4/30 1:34,300,9994760
2021/4/30 1:34,30,10005334
2021/4/30 1:30,30,8799456
2021/4/30 1:29,150,8799456
2021/4/30 1:19,680,7667738
2021/4/30 1:18,30,2171717
2021/4/30 1:11,300,8238126
2021/4/30 1:09,680,9244870
2021/4/30 1:06,1280,8871705
2021/4/30 0:53,30,10010753
2021/4/30 0:53,60,10010753
2021/4/30 0:39,300,6776792
2021/4/30 0:38,60,8797502
2021/4/30 0:34,30,8601145
2021/4/30 0:33,150,8601145
2021/4/30 0:27,300,9721476
2021/4/30 0:26,150,8797502
2021/4/30 0:26,30,8797502
2021/4/30 0:15,680,2411987
2021/4/30 0:14,150,2411987
2021/4/30 0:10,60,8842534
2021/4/30 0:06,60,6656743
2021/4/30 0:06,300,6656743
2021/4/30 0:06,1280,6062218
2021/4/30 0:02,30,6656743
2021/4/29 23:57,680,9776058
2021/4/29 23:41,60,2254508
2021/4/29 23:40,30,2254508
2021/4/29 23:40,30,10009734
2021/4/29 23:40,150,10009734
2021/4/29 23:32,300,9968003
2021/4/29 23:29,1280,9778836
2021/4/29 23:20,300,10009783
2021/4/29 23:04,300,9972281
2021/4/29 22:54,30,9972281
2021/4/29 22:54,300,9921364
2021/4/29 22:42,680,10008484
2021/4/29 22:37,30,9950544
2021/4/29 22:33,60,2706664
2021/4/29 22:30,30,9914400
2021/4/29 22:27,300,9190580
2021/4/29 22:21,300,9977954
2021/4/29 22:16,300,8879193
2021/4/29 22:11,300,8879193
2021/4/29 22:10,680,8879193
2021/4/29 21:56,300,3893283
2021/4/29 21:54,680,2172250
2021/4/29 21:50,680,9965585
2021/4/29 21:47,300,9970505
2021/4/29 21:36,30,9965585
2021/4/29 21:35,300,9965585
2021/4/29 21:35,150,9965585
2021/4/29 21:35,680,9986540
2021/4/29 21:25,60,9714954
2021/4/29 21:22,30,10005247
2021/4/29 21:14,300,9986540
2021/4/29 21:12,300,8888344
2021/4/29 21:11,680,8888344
2021/4/29 21:04,150,9970858
2021/4/29 20:52,300,7331984
2021/4/29 20:51,300,7331984
2021/4/29 20:50,300,8008875
2021/4/29 20:47,680,9632549
2021/4/29 20:45,150,7634184
2021/4/29 20:31,60,9503844
2021/4/29 20:25,30,9991663
2021/4/29 20:21,150,5709387
2021/4/29 20:20,680,5709387
2021/4/29 20:20,30,5709387
2021/4/29 20:19,150,5709387
2021/4/29 20:19,1980,9794041
2021/4/29 20:09,150,6149229
2021/4/29 20:07,1280,6149229
2021/4/29 19:59,300,9998494
2021/4/29 19:44,30,10000646
2021/4/29 19:13,150,8966139
2021/4/29 18:57,300,2176133
2021/4/29 18:57,3280,9990982
2021/4/29 18:55,680,2176133
2021/4/29 18:41,60,9988490
2021/4/29 18:36,300,8803770
2021/4/29 18:17,300,6736172
2021/4/29 18:17,680,3958227
2021/4/29 18:07,150,8907737
2021/4/29 18:01,1280,2245885
2021/4/29 17:27,300,9738378
2021/4/29 17:06,680,5809690
2021/4/29 16:56,1280,2184904
2021/4/29 16:55,60,9978636
2021/4/29 16:53,300,9989686
2021/4/29 16:52,680,9989686
2021/4/29 16:41,300,4410685
2021/4/29 16:41,300,4410685
2021/4/29 16:32,150,4410685
2021/4/29 15:55,300,2577446
2021/4/29 15:54,680,2577446
2021/4/29 15:30,300,9992500
2021/4/29 15:18,6480,7056541
2021/4/29 15:18,6480,7056541
2021/4/29 15:13,6480,7056541
2021/4/29 14:58,1280,9702218
2021/4/29 14:55,60,9985578
2021/4/29 14:55,60,9985578
2021/4/29 14:54,60,9985578
2021/4/29 14:47,680,9975688
2021/4/29 14:44,1280,9975688
2021/4/29 14:38,300,9320718
2021/4/29 14:35,1280,2212761
2021/4/29 14:00,150,4541092
2021/4/29 13:08,60,9445938
2021/4/29 13:02,150,2342934
2021/4/29 13:02,680,2342934
2021/4/29 12:55,1280,8179713
2021/4/29 12:49,300,2562419
2021/4/29 12:49,680,2562419
2021/4/29 12:43,300,9992241
2021/4/29 12:39,60,9975361
2021/4/29 12:24,60,7964746
2021/4/29 12:24,300,7964746
2021/4/29 12:23,150,9864802
2021/4/29 12:20,3280,8077968
2021/4/29 12:17,680,9105688
2021/4/29 11:56,6480,9935640
2021/4/29 11:52,3280,8077968
2021/4/29 11:52,3280,8077968
2021/4/29 11:51,30,8077968
2021/4/29 11:51,150,8077968
2021/4/29 11:35,30,9991866
2021/4/29 11:31,1280,9775071
2021/4/29 11:27,30,9991839
2021/4/29 11:19,150,8907737
2021/4/29 11:12,680,2241123
2021/4/29 11:11,300,9931073
2021/4/29 11:09,300,9931073
2021/4/29 11:04,680,9931073
2021/4/29 10:56,300,3433835
2021/4/29 10:48,300,9945813
2021/4/29 10:44,30,9991564
2021/4/29 10:44,150,9991564
2021/4/29 10:37,300,2232903
2021/4/29 10:37,300,9945813
2021/4/29 10:36,1280,9945813
2021/4/29 10:36,1280,9945813
2021/4/29 10:35,680,2342934
2021/4/29 10:35,3280,2285363
2021/4/29 10:28,3280,2285363
2021/4/29 10:24,60,9922960
2021/4/29 10:19,60,9931073
2021/4/29 10:16,1980,9931073
2021/4/29 10:14,150,7747850
2021/4/29 10:13,30,7747850
2021/4/29 10:13,3280,7747850
2021/4/29 10:02,680,2919437
2021/4/29 9:58,1280,2167372
2021/4/29 9:44,150,9053554
2021/4/29 9:40,300,7288750
2021/4/29 9:39,1280,2614753
2021/4/29 9:38,1980,2614753
2021/4/29 9:33,1280,2210151
2021/4/29 9:28,30,9991266
2021/4/29 9:26,60,9973964
2021/4/29 9:25,60,9973964
2021/4/29 9:21,300,9709256
2021/4/29 9:11,1280,2331304
2021/4/29 8:59,680,9864802
2021/4/29 8:46,30,9950929
2021/4/29 8:40,30,7288750
2021/4/29 8:33,30,9947799
2021/4/29 7:50,300,9990782
2021/4/29 7:37,30,9989786
2021/4/29 7:26,30,3795862
2021/4/29 7:23,1280,2178558
2021/4/29 6:57,1280,8030622
2021/4/29 6:56,30,9813407
2021/4/29 6:48,60,9981929
2021/4/29 6:40,300,9981929
2021/4/29 6:40,680,9981929
2021/4/29 6:39,1280,2198100
2021/4/29 6:25,30,9990102
2021/4/29 6:15,60,9908593
2021/4/29 6:15,300,9908593
2021/4/29 6:10,30,9989982
2021/4/29 6:05,60,2411128
2021/4/29 5:01,300,8798721
2021/4/29 4:59,300,8465015
2021/4/29 4:29,300,9981929
2021/4/29 4:29,300,9981929
2021/4/29 3:46,150,9989686
2021/4/29 3:33,300,9989686
2021/4/29 3:31,30,9989686
2021/4/29 3:29,150,9989686
2021/4/29 3:11,300,9970505
2021/4/29 3:02,150,9989584
2021/4/29 2:59,30,9989584
2021/4/29 2:52,300,8879193
2021/4/29 2:04,680,9970505
2021/4/29 1:44,60,3197483
2021/4/29 1:44,680,3197483
2021/4/29 1:13,680,9968625
2021/4/29 0:57,680,7878700
2021/4/29 0:51,680,8528600
2021/4/29 0:47,60,9970505
2021/4/29 0:47,60,9970505
2021/4/29 0:47,680,9970505
2021/4/29 0:29,30,4828154
2021/4/29 0:29,60,9956909
2021/4/29 0:21,300,9953697
2021/4/29 0:12,680,7964746
2021/4/29 0:11,680,9968625
2021/4/29 0:10,680,9761984
2021/4/29 0:03,300,2568503
2021/4/28 23:55,60,7219435
2021/4/28 23:47,680,4445024
2021/4/28 23:46,680,4445024
2021/4/28 23:44,60,9973964
2021/4/28 23:43,300,9877185
2021/4/28 23:42,60,8871358
2021/4/28 23:41,60,4336214
2021/4/28 23:35,300,9985578
2021/4/28 23:33,300,9976792
2021/4/28 23:32,680,9804483
2021/4/28 23:32,60,9923052
2021/4/28 23:30,680,9923052
2021/4/28 23:25,300,9956790
2021/4/28 23:19,30,2248841
2021/4/28 23:10,150,8317521
2021/4/28 23:06,30,9967547
2021/4/28 23:01,680,9763033
2021/4/28 22:55,300,9053554
2021/4/28 22:55,300,9053554
2021/4/28 22:54,1280,9897076
2021/4/28 22:42,300,9897275
2021/4/28 22:27,680,9970858
2021/4/28 22:25,3280,9975688
2021/4/28 22:19,30,9736219
2021/4/28 22:19,30,9918511
2021/4/28 22:17,680,9965438
2021/4/28 21:46,60,6455922
2021/4/28 21:43,300,9929325
2021/4/28 21:43,60,9981929
2021/4/28 21:42,300,9466388
2021/4/28 21:41,3280,9466388
2021/4/28 21:34,30,8585916
2021/4/28 21:23,680,9268420
2021/4/28 21:21,60,9891117
2021/4/28 21:21,30,9984824
2021/4/28 21:20,30,9833734
2021/4/28 21:17,150,9833734
2021/4/28 20:50,30,9963843
2021/4/28 20:44,680,8801914
2021/4/28 20:32,300,9963938
2021/4/28 20:26,60,9224756
2021/4/28 20:26,60,9224756
2021/4/28 20:19,60,9976792
2021/4/28 20:18,1980,9976792
2021/4/28 20:18,30,9525986
2021/4/28 20:15,300,9973964
2021/4/28 20:13,300,9525986
2021/4/28 20:09,300,9504531
2021/4/28 20:06,30,9966388
2021/4/28 20:05,60,9955089
2021/4/28 20:04,30,9955089
2021/4/28 19:53,60,9947449
2021/4/28 19:22,60,9945057
2021/4/28 19:22,60,9945057
