,label,counts
98,皇帝,2094
9673,朱棣,1425
1961,这位,1266
82,朱元璋,1264
5,明朝,1031
7786,万历,735
6898,张居正,633
6897,徐阶,618
5367,大臣,618
3657,明军,600
24921,嘉靖,593
9811,崇祯,565
27504,严嵩,563
6542,朝廷,546
23336,王守仁,538
6142,袁崇焕,534
7058,太监,529
993,军队,526
545,同志,522
209,自然,508
120,工作,505
154,儿子,500
1342,进攻,496
945,士兵,485
18071,魏忠贤,451
11,历史,451
7775,内阁,447
1572,敌人,445
6538,京城,440
18232,朱祁镇,434
804,当年,422
115,名字,420
375,官员,419
10199,日军,416
29294,胡宗宪,404
1156,攻击,402
6,事儿,391
4,最快,383
2,看书,382
5422,仁兄,380
8,最新,379
7,全集,377
7865,太子,377
9,章节,377
3,630bookla,375
1,恋上你,375
677,命令,366
4301,日本,364
302,消息,350
287,等待,345
52,明代,339
269,很快,338
23185,朱厚照,334
802,骑兵,333
451,简单,329
1741,陈友谅,328
1758,国家,319
1353,投降,313
6141,戚继光,310
792,时间,309
794,发生,304
937,手下,303
990,部队,302
4940,尚书,299
2044,将领,297
2818,无数,294
1392,此人,293
1571,解决,288
109,父亲,287
31229,李如松,283
6517,大人,276
4603,政治,274
1348,发动,273
38301,皇太极,269
589,这句,263
10,喜欢,260
38212,努尔哈赤,260
1245,大军,258
32,史料,256
1467,战争,256
26945,夏言,253
240,蒙古,252
254,不行,252
918,打仗,248
1656,军事,247
7064,大明,245
2497,计划,243
1351,对手,242
629,胜利,242
664,回家,242
7040,东林党,239
1485,不好,239
5464,辽东,239
1955,最为,238
1872,事实证明,238
439,面对,237
625,面前,232
399,世界,229
1308,回去,229
3308,事实上,229
1288,兄弟,227
18171,刘瑾,227
1050,成功,226
995,作战,225
18123,汪直,223
15702,倭寇,221
652,强大,221
1422,眼前,221
20875,首辅,220
35,人物,220
28191,严世蕃,218
5468,朝鲜,217
1674,失败,216
405,一生,215
1048,老婆,215
359,麻烦,214
18660,朱祁钰,213
4521,答案,210
300,到来,210
125,造反,209
8185,海瑞,208
7424,锦衣卫,207
2353,目的,206
235,生活,204
5137,陛下,204
3590,这场,203
785,愤怒,203
26345,奏疏,202
2124,权力,202
1520,这一,199
35449,后金,197
29739,徐海,196
3262,之中,195
6673,兵部,194
1490,人生,193
2153,听到,192
1200,提出,192
558,领导,192
38892,孙承宗,192
2496,指挥,191
132,记载,190
33992,申时行,190
58,表现,190
878,朋友,188
2522,孩子,186
831,做出,184
16708,巡抚,184
1587,南京,184
282,交给,183
14941,总督,182
3748,可谓,182
18844,总兵,180
8360,弹劾,179
2220,说话,179
1740,可怕,177
1178,来到,177
22885,杨廷和,176
243,杀掉,176
1298,使者,175
11705,朱高煦,173
19489,这帮,173
94,进士,173
1328,目标,172
5305,斗争,172
6653,吏部,172
2370,判断,171
2076,老师,171
6954,言官,171
2964,一位,171
3828,始终,170
610,理由,170
3638,下令,168
2753,之下,168
263,帝国,168
1917,纷纷,168
373,手中,167
26373,张璁,166
2276,兵力,166
16749,张献忠,166
6966,御史,165
19483,朱见深,165
3480,事实,164
1616,北京,164
2029,战场,163
1984,厉害,161
3007,几十年,160
203,读书,159
7354,说法,159
1205,出发,159
2431,水平,158
368,理解,158
20942,徐有贞,157
17922,于谦,156
376,上书,156
1122,意识,155
18723,石亨,155
1083,将来,155
3276,错误,155
6202,蓝玉,155
2383,动手,154
1584,发展,154
366,粮食,153
983,说出,152
832,脑袋,151
661,收拾,151
2212,说道,151
18170,王振,151
1652,到达,150
3739,时刻,149
2334,实力,149
16748,李自成,149
1191,徐达,148
9757,朱允,147
1861,精神,147
776,奇怪,147
659,证明,146
1447,率领,146
1511,得知,146
17005,杨继盛,145
1862,支持,145
14291,解缙,144
31242,小西行,144
1505,信任,143
2588,举动,142
3733,随即,142
25935,点儿,141
634,回到,141
382,皇上,141
536,命运,141
39337,魏公公,141
2740,敌军,140
4101,派出,140
10402,李景隆,140
23172,杨一清,138
386,心中,138
1146,此事,138
42168,洪承畴,137
29659,王锡爵,137
35472,毛文龙,137
3145,郑和,137
435,痛苦,137
24685,朱宸濠,135
2225,皇位,135
112,母亲,135
1546,城内,135
284,一场,135
1190,名将,135
870,很大,135
6917,干掉,135
182,老百姓,134
16767,杨士奇,134
798,参加,132
733,身份,132
1312,忽悠,131
1746,时代,131
3050,四处,131
23305,张永,131
1821,战役,131
29482,俞大猷,130
1090,之间,130
181,元朝,130
1744,可惜,130
42208,曹文诏,129
1361,战斗力,129
6736,大学士,129
3537,剩下,129
2519,无论如何,127
42212,高迎祥,127
7828,那位,127
139,例外,126
39023,祖大寿,126
1563,谈判,125
10998,建文帝,125
4587,永乐,125
314,意见,125
3950,主动,125
24417,江彬,124
750,地位,124
481,内容,123
628,努力,123
11704,朱高炽,123
1407,百姓,123
31218,李成梁,122
4344,打死,122
41659,温体仁,122
2407,正确,122
1344,聪明,121
16653,东厂,121
1499,想不到,121
26631,有点儿,121
891,逃跑,121
2126,无人,121
1442,对付,120
3677,主力,120
42540,卢象,120
6629,年间,120
1848,武器,120
1693,形势,120
1284,两人,119
8198,部长,119
38483,阉党,118
2729,保证,118
731,组织,118
5435,光荣,118
499,态度,118
6387,折腾,117
34938,宁远,117
4046,正式,117
7208,胡惟庸,117
333,著名,116
4732,洪武,116
6672,职务,116
2748,阴谋,116
1844,放弃,116
7727,奏折,116
1418,关键,116
326,反对,115
6677,礼部,115
312,意外,115
7331,退休,115
1096,一群,115
1243,带领,114
38727,天启,113
5682,终究,113
9169,大炮,112
6962,都察院,112
1222,考试,112
660,离开,112
18,二十年,112
2553,刘基,112
986,这才,112
7949,女人,112
313,政府,112
1151,出征,111
41,制度,111
1553,认定,111
5243,运气,110
6493,文官,110
3341,撤退,109
4877,结局,109
14004,皇后,109
10847,宁王,109
